,precision,recall,f1-score,support
Видео,0.806295907660021,0.8749715326804828,0.8392311052861512,4391.0
ДЗ,0.8675927935749945,0.8647771527477283,0.8661826850146279,4622.0
Лонгрид,0.234375,0.036855036855036855,0.06369426751592355,407.0
Тест,0.6936936936936937,0.6470588235294118,0.6695652173913045,238.0
accuracy,0.8291571753986332,0.8291571753986332,0.8291571753986332,0.8291571753986332
macro avg,0.6504893487321773,0.6059156364531649,0.6096683188020018,9658.0
weighted avg,0.8087542914203641,0.8291571753986332,0.8152661257058615,9658.0
