,precision,recall,f1-score,support
Видео,0.8073832790445168,0.8797917652626597,0.8420337447627675,4226.0
ДЗ,0.852232746955345,0.8395094641428952,0.8458232608111736,3751.0
Лонгрид,0.16483516483516483,0.03759398496240601,0.061224489795918366,399.0
Тест,0.7295081967213115,0.6872586872586872,0.7077534791252484,259.0
accuracy,0.8176027793862188,0.8176027793862188,0.8176027793862188,0.8176027793862188
macro avg,0.6384898468890845,0.611038475406662,0.614208743623777,8635.0
weighted avg,0.7948394469938249,0.8176027793862188,0.8035731765132806,8635.0
